,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
2615,PTVCA,Protective Insurance Corporation - Class A (voting) Common Stock,G,N,N,100.0,N,N
2616,PTVCB,Protective Insurance Corporation - Class B (nonvoting) Common Stock,G,N,N,100.0,N,N
2617,PUB,People's Utah Bancorp - Common Stock,S,N,N,100.0,N,N
2618,PUI,Invesco DWA Utilities Momentum ETF,G,N,N,100.0,Y,N
2619,PULM,"Pulmatrix, Inc. - Common Stock",S,N,N,100.0,N,N
2620,PUYI,Puyi Inc. - American Depository Shares,G,N,N,100.0,N,N
2621,PVAC,Penn Virginia Corporation - Common Stock,Q,N,N,100.0,N,N
2622,PVAL,Principal Contrarian Value Index ETF,G,N,N,100.0,Y,N
2623,PVBC,"Provident Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
2624,PWFL,"PowerFleet, Inc. - Common Stock",G,N,N,100.0,N,N
2625,PWOD,"Penns Woods Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
2626,PXI,Invesco DWA Energy Momentum ETF,G,N,N,100.0,Y,N
2627,PXLW,"Pixelworks, Inc. - Common Stock",G,N,N,100.0,N,N
2628,PXS,Pyxis Tankers Inc. - Common Stock,S,N,D,100.0,N,N
2629,PY,Principal Shareholder Yield Index ETF,G,N,N,100.0,Y,N
2630,PYPL,"PayPal Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
2631,PYZ,Invesco DWA Basic Materials Momentum ETF,G,N,N,100.0,Y,N
2632,PZZA,"Papa John's International, Inc. - Common Stock",Q,N,N,100.0,N,N
2633,QABA,First Trust NASDAQ ABA Community Bank Index Fund,G,N,N,100.0,Y,N
2634,QADA,QAD Inc. - Class A Common Stock,Q,N,N,100.0,N,N
2635,QADB,QAD Inc. - Class B Common Stock,Q,N,N,100.0,N,N
2636,QAT,iShares MSCI Qatar ETF,G,N,N,100.0,Y,N
2637,QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,G,N,N,100.0,Y,N
2638,QCOM,QUALCOMM Incorporated - Common Stock,Q,N,N,100.0,N,N
2639,QCRH,"QCR Holdings, Inc. - Common Stock",G,N,N,100.0,N,N
2640,QDEL,Quidel Corporation - Common Stock,Q,N,N,100.0,N,N
2641,QFIN,"360 Finance, Inc. - American Depositary Shares",G,N,N,100.0,N,N
2642,QIWI,QIWI plc - American Depositary Shares,Q,N,N,100.0,N,N
2643,QK,Q&amp;K International Group Limited - American Depositary Shares,G,N,N,100.0,N,N
2644,QLYS,"Qualys, Inc. - Common Stock",Q,N,N,100.0,N,N
2645,QMCO,Quantum Corporation - Common Stock,G,N,N,100.0,N,N
2646,QNST,"QuinStreet, Inc. - Common Stock",Q,N,N,100.0,N,N
